param_0,param_1,param_2,param_3,param_4,param_5,TE0,TE1,TE2
4.176e-07,5.123e-07,4.595e-07,1.206e-06,1.382e-06,9.37e-07,0.1113,0.2187,0.618
9.045e-07,9.713e-07,8.899e-07,1.4274e-06,1.2483e-06,1.3348e-06,0.3417,0.3581,0.0902
1.0009e-06,3.807e-07,1.9681e-06,3.143e-07,1.38e-07,9.758e-07,0.2198,0.1394,0.1057
1.34e-07,1.4855e-06,7.285e-07,5.961e-07,5.87e-07,1.3308e-06,0.3678,0.0946,0.1484
3.428e-07,5.091e-07,4.288e-07,2.556e-07,5.627e-07,1.2747e-06,0.4623,0.1193,0.1534
1.0623e-06,1.4123e-06,8.27e-07,1.3127e-06,1.2483e-06,8.377e-07,0.3426,0.0026,0.4485
2.0094e-06,5.878e-07,1.6112e-06,1.826e-06,3.928e-07,1.8589e-06,0.2824,0.0363,0.2697
4.361e-07,1.4131e-06,7.429e-07,6.603e-07,5.85e-07,1.1992e-06,0.6114,0.0438,0.212
2.788e-07,3.994e-07,1.9756e-06,1.9109e-06,6.194e-07,1.0732e-06,0.1876,0.0342,0.0235
2.844e-07,5.576e-07,5.988e-07,1.1806e-06,1.9542e-06,9.363e-07,0.1028,0.0726,0.1163
1.7343e-06,3.565e-07,1.1555e-06,2.371e-07,1.0232e-06,3.06e-07,0.1029,0.3584,0.0106
2.962e-07,1.6419e-06,2.603e-07,5.874e-07,1.5819e-06,9.383e-07,0.2797,0.219,0.2465
3.677e-07,5.895e-07,7.429e-07,1.1682e-06,1.4206e-06,1.2207e-06,0.0817,0.1103,0.4588
2.83e-07,5.002e-07,8.671e-07,4.817e-07,1.61e-07,5.355e-07,0.654,0.2423,0.0846
9.776e-07,4.739e-07,2.1693e-06,1.1009e-06,6.623e-07,1.533e-06,0.4363,0.0475,0.1658
8.519e-07,1.4123e-06,1.9086e-06,1.3127e-06,1.2483e-06,8.377e-07,0.3298,0.0582,0.0735
5.403e-07,5.841e-07,6.575e-07,2.0192e-06,9.268e-07,1.2344e-06,0.2184,0.2274,0.0337
1.024e-06,5.237e-07,8.453e-07,1.3128e-06,5.401e-07,1.0812e-06,0.5852,0.0016,0.132
3.531e-07,9.567e-07,1.4433e-06,2.822e-07,1.2624e-06,8.388e-07,0.4261,0.0381,0.1152
8.472e-07,5.285e-07,1.416e-06,3.258e-07,5.626e-07,1.2747e-06,0.4882,0.0165,0.0484
4.176e-07,5.123e-07,4.595e-07,1.1746e-06,1.4097e-06,9.036e-07,0.1227,0.1849,0.5806
1.4977e-06,9.519e-07,5.129e-07,8.5e-07,2.0444e-06,1.1869e-06,0.3561,0.0995,0.0484
